source;expected;actual;equals
32017R1563;"The processing of personal data by an authorised entity carried out by an authorised entity within the framework of this Regulation shall be carried out by an authorised entity in compliance with Directives 95/46/EC and 2002/58/EC.";"The processing of personal data by the entity carried out within the framework of this Regulation by the entity shall be carried out by the entity in compliance with Directives 95/46/EC and 2002/58/EC.";False
32019R0517;"A registered domain name shall be unavailable for further registration until the registration has expired without renewal, or until the domain name has been revoked by the Registry.";"A registered domain name shall be unavailable for further registration until the registration has expired without renewal, or until the domain name has been revoked by the registry.";False
32019R0517;"A domain name may also be revoked by the Registry, and where necessary subsequently transferred by the Registry to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered by its holder without rights or legitimate interest in the name;";"A domain name may also be revoked by the registry, and where necessary subsequently transferred to another party by the registry, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered by its holder without rights or legitimate interest in the name;";False
32019R0517;"A domain name may also be revoked by the Registry, and where necessary subsequently transferred by the Registry to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered or is being used in bad faith.";"A domain name may also be revoked by the registry, and where necessary subsequently transferred to another party by the registry, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered or is being used in bad faith.";False
32019R0517;"Domain names registered by the Registry under the .eu TLD shall be transferable by Registrars only to parties eligible for registration of .eu TLD names.";"Domain names registered under the .eu TLD by the registry shall be transferable by the registrars only to parties eligible for registration of .eu TLD names.";False
32019R0517;"The registration of domain names shall be carried out by the Registry in all the characters of the official languages of the Union institutions, in accordance with the available international standards as allowed by the relevant Internationalised Domain Name protocols.";"The registration of domain names shall be carried out by the registry in all the characters of the official languages of the Union institutions, in accordance with the available international standards as allowed by the relevant Internationalised Domain Name protocols.";False
32019R0517;"With respect to point (b) of the first subparagraph, such domain names shall be limited by the Registry to broadly recognised geographical or geopolitical terms which affect the Member States' political or territorial organisation.";"With respect to point (b) of the first subparagraph, such domain names shall be limited by the registry to broadly recognised geographical or geopolitical terms which affect the Member States' political or territorial organisation.";False
32019R0517;"Those implementing acts shall be adopted by the Commission in accordance with the examination procedure referred to in Article 17(2).";"Those implementing acts shall be adopted by the commission in accordance with the examination procedure referred to in Article 17(2).";False
32019R0517;"Those representatives shall be drawn by the Commission from the private sector, the technical community, civil society and academia, as well as Member States' authorities and international organisations.";"Those representatives shall be drawn by the commission from the private sector, the technical community, civil society and academia, as well as Member States' authorities and international organisations.";False
32019R0517;"The power to adopt delegated acts is conferred by the European Parliament on the Commission subject to the conditions laid down in this Article.";"The power to adopt delegated acts is conferred on the Commission by the parliament subject to the conditions laid down in this Article.";False
32019R0517;"The power to adopt delegated acts referred to in Article 8(1) shall be conferred by the European Parliament on the Commission for a period of five years from 18 April 2019.";"The power to adopt delegated acts referred to in Article 8(1) shall be conferred by the parliament on the Commission for a period of five years from 18 April 2019.";False
32019R0517;"The delegation of power shall be tacitly extended by the Commission for periods of an identical duration, unless the European Parliament or the Council opposes such extension not later than three months before the end of each period.";"The delegation of power shall be tacitly extended for periods of an identical duration by the commission, unless the European Parliament or the Council opposes such extension not later than three months before the end of each period.";False
32019R0517;"A decision to revoke by the European Parliament shall put an end to the delegation of the power specified in that decision.";"A decision by the parliament to revoke shall put an end to the delegation of the power specified in that decision.";False
32021R0444;"The Programme shall be implemented by the Commission under direct management in accordance with the Financial Regulation.";"The Programme shall be implemented under direct management in accordance with the Financial Regulation by the commission.";False
32021R0444;"Member States shall bear the costs related to the responsibilities conferred on them by the Commission pursuant to Article 11(3).";"Member States shall bear the costs related to the responsibilities conferred on them by the commission pursuant to Article 11(3).";False
32021R0444;"External experts shall be selected by the Commission on the basis of their skills, experience and knowledge relevant to the specific action and according to needs.";"External experts shall be selected by the commission on the basis of their skills, experience and knowledge relevant to the specific action and according to needs.";False
32021R0444;"Grants under the Programme shall be awarded by the Commission and managed by the Commission in accordance with Title VIII of the Financial Regulation.";"Grants under the Programme shall be awarded by the commission and managed in accordance with Title VIII of the Financial Regulation by the commission.";False
32021R0444;"The support from the different Union programmes may be calculated by the Commission on a pro-rata basis in accordance with the documents setting out the conditions for support.";"The support from the different Union programmes may be calculated by the commission on a pro-rata basis in accordance with the documents setting out the conditions for support.";False
32021R0444;"In accordance with point (f) of the first paragraph of Article 195 of the Financial Regulation, grants shall be awarded by the Commission without a call for proposals where the eligible entities are customs authorities of participating countries, provided that the conditions set out in Article 5 of this Regulation are met.";"In accordance with point (f) of the first paragraph of Article 195 of the Financial Regulation, grants shall be awarded without a call for proposals by the commission where the eligible entities are customs authorities of participating countries, provided that the conditions set out in Article 5 of this Regulation are met.";False
32021R0444;"The applicable co-financing rate where actions require the awarding of grants shall be set out by the Commission in the multiannual work programmes referred to in Article 12.";"The applicable co-financing rate where actions require the awarding of grants shall be set out by the commission in the multiannual work programmes referred to in Article 12.";False
32021R0444;"The Programme shall be implemented by the Member States through multiannual work programmes as referred to in Article 110(2) of the Financial Regulation.";"The Programme shall be implemented through multiannual work programmes by the states as referred to in Article 110(2) of the Financial Regulation.";False
32021R0444;"Those implementing acts shall be adopted by the Member States in accordance with the examination procedure referred to in Article 17(2).";"Those implementing acts shall be adopted by the states in accordance with the examination procedure referred to in Article 17(2).";False
32021R0444;"The performance reporting system shall ensure that data for monitoring the implementation and the results of the Programme are collected by the Commission efficiently, effectively and in a timely manner.";"The performance reporting system shall ensure that data for monitoring the implementation and the results of the Programme are collected efficiently, effectively and in a timely manner by the commission.";False
32021R0444;"To that end, proportionate reporting requirements shall be imposed by the Commission on the recipients of Union funds.";"To that end, proportionate reporting requirements shall be imposed on the recipients of Union funds by the commission.";False
32021R0444;"Evaluations shall be carried out by the Commission in a timely manner so that they can be used by the Commission in the decision-making process.";"Evaluations shall be carried out in a timely manner by the commission so that they can be used in the decision-making process by the commission.";False
article5;"Personal data shall be processed by the processor lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’).";"Personal data shall be processed by the processor lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’).";True
article5;"Personal data shall be collected by the processor for specified, explicit and legitimate purposes and not further processed by the controller in a manner that is incompatible with those purposes.";"Personal data shall be collected for specified, explicit and legitimate purposes by the processor and not further processed in a manner that is incompatible with those purposes by the processor.";False
article5;"further processing by the processor for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with Article 89(1), not be considered by the controller to be incompatible with the initial purposes (‘purpose limitation’).";"further processing by the processor for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with Article 89(1), not be considered by the controller to be incompatible with the initial purposes (‘purpose limitation’).";True
article5;"Personal data shall be adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed by the processor (‘data minimisation’).";"Personal data shall be adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed by the processor (‘data minimisation’).";True
article5;"Personal data shall be accurate and, where necessary, kept up to date by the processor.";"Personal data shall be accurate and, where necessary, kept by the processor up to date.";False
article5;"every reasonable step must be taken by the processor to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed by the processor, are erased by the processor or rectified by the processor without delay (‘accuracy’).";"every reasonable step must be taken by the processor to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed by the processor, are erased by the processor or rectified without delay by the processor (‘accuracy’).";False
article5;"Personal data shall be kept by the processor in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed.";"Personal data shall be kept by the processor in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed.";True
article5;"personal data may be stored by the processor for longer periods insofar as the personal data will be processed by the processor solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’).";"personal data may be stored for longer periods by the processor insofar as the personal data will be processed by the processor solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’).";False
article5;"Personal data shall be processed by the processor in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).";"Personal data shall be processed by the processor in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).";True
article6;"Processing by the processor shall be lawful only if and to the extent that the data subject has given consent to the processing of his or her personal data by the processor for one or more specific purposes.";"Processing by the processor shall be lawful only if and to the extent that the data subject has given consent to the processing by the processor of his or her personal data for one or more specific purposes.";False
article6;"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract.";"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract.";True
article6;"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for compliance with a legal obligation to which the controller is subject.";"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for compliance with a legal obligation to which the controller is subject.";True
article6;"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary in order to protect the vital interests of the data subject or of another natural person.";"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary in order to protect the vital interests of the data subject or of another natural person.";True
article6;"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.";"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.";True
article6;"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.";"Processing by the processor shall be lawful only if and to the extent that processing by the processor is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.";True
article6;"The purpose of the processing by the processor shall be determined by the controller in that legal basis or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.";"The purpose of the processing by the processor shall be determined in that legal basis by the controller or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.";False
article7;"If the data subject's consent is given by the data subject in the context of a written declaration which also concerns other matters, the request for consent shall be presented by the controller in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language.";"If the data subject's consent is given by the subject in the context of a written declaration which also concerns other matters, the request for consent shall be presented by the controller in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language.";False
article7;"The withdrawal of consent by the data subject shall not affect the lawfulness of processing by the processor based on consent before its withdrawal.";"The withdrawal of consent by the subject shall not affect the lawfulness of processing by the processor based on consent before its withdrawal.";False
article7;"Prior to giving consent, the data subject shall be informed thereof by the controller.";"Prior to giving consent, the data subject shall be informed thereof by the controller.";True
article7;"It shall be as easy for the data subject to withdraw as to give consent.";"It shall be as easy to withdraw by the subject as to give consent.";False
article7;"When assessing whether consent is freely given by the data subject, utmost account shall be taken of whether, inter alia, the performance of a contract, including the provision of a service, is conditional on consent to the processing of personal data that is not necessary for the performance of that contract.";"When assessing whether consent is freely given by the subject, utmost account shall be taken of whether, inter alia, the performance of a contract, including the provision of a service, is conditional on consent to the processing of personal data that is not necessary for the performance of that contract.";False
article8;"Where point (a) of Article 6(1) applies, in relation to the offer of information society services directly to a child, the processing by the processor of the personal data of a child shall be lawful where the child is at least 16 years old.";"Where point (a) of Article 6(1) applies, in relation to the offer of information society services directly to a child, the processing of the personal data of a child by the processor shall be lawful where the child is at least 16 years old.";False
article8;"Where the child is below the age of 16 years, such processing by the processor shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child.";"Where the child is below the age of 16 years, such processing by the processor shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child.";True
article9;"Paragraph 1 shall not apply if processing by the processor is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject.";"Paragraph 1 shall not apply if processing by the processor is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject.";True
article9;"Paragraph 1 shall not apply if processing by the processor is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent.";"Paragraph 1 shall not apply if processing by the processor is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent.";True
article9;"Paragraph 1 shall not apply if processing by the processor is carried out by the processor in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects.";"Paragraph 1 shall not apply if processing by the processor is carried out by the processor in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects.";True
article9;"Paragraph 1 shall not apply if processing by the processor relates to personal data which are manifestly made public by the data subject.";"Paragraph 1 shall not apply if processing by the processor relates to personal data which are manifestly made public by the data subject.";True
article9;"Paragraph 1 shall not apply if processing by the processor is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity.";"Paragraph 1 shall not apply if processing by the processor is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity.";True
article9;"Paragraph 1 shall not apply if processing by the processor is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.";"Paragraph 1 shall not apply if processing by the processor is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.";True
article9;"Paragraph 1 shall not apply if processing by the processor is necessary for the purposes of preventive or occupational medicine, for the assessment of the working capacity of the employee, medical diagnosis, the provision of health or social care or treatment or the management of health or social care systems and services on the basis of Union or Member State law or pursuant to contract with a health professional and subject to the conditions and safeguards referred to in paragraph 3.";"Paragraph 1 shall not apply if processing by the processor is necessary for the purposes of preventive or occupational medicine, for the assessment of the working capacity of the employee, medical diagnosis, the provision of health or social care or treatment or the management of health or social care systems and services on the basis of Union or Member State law or pursuant to contract with a health professional and subject to the conditions and safeguards referred to in paragraph 3.";True
article9;"Paragraph 1 shall not apply if processing by the processor is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy.";"Paragraph 1 shall not apply if processing by the processor is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy.";True
