source;expected;actual;equals
article9;"Paragraph 1 shall not apply if processing by the processor is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.";"Paragraph 1 shall not apply if processing by the processor is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.";True
article9;"Personal data referred to in paragraph 1 may be processed by the processor for the purposes referred to in point (h) of paragraph 2 when those data are processed by or under the responsibility of a professional subject to the obligation of professional secrecy under Union or Member State law or rules established by national competent bodies or by another person also subject to an obligation of secrecy under Union or Member State law or rules established by national competent bodies.";"Personal data referred to in paragraph 1 may be processed by the processor for the purposes referred to in point (h) of paragraph 2 when those data are processed by or under the responsibility of a professional subject to the obligation of professional secrecy under Union or Member State law or rules established by national competent bodies or by another person also subject to an obligation of secrecy under Union or Member State law or rules established by national competent bodies.";True
article10;"Processing of personal data by the processor relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects.";"Processing by the processor of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects.";False
article10;"Any comprehensive register of criminal convictions shall be kept only under the control of official authority by the controller.";"Any comprehensive register of criminal convictions shall be kept only under the control of official authority by the controller.";True
article12;"The information shall be provided by the controller in writing, or by other means, including, where appropriate, by electronic means.";"The information shall be provided by the controller in writing, or by other means, including, where appropriate, by electronic means.";True
article12;"When requested by the data subject, the information may be provided orally by the controller, provided that the identity of the data subject is proven by other means.";"When requested by the data subject, the information may be provided orally by the controller, provided that the identity of the data subject is proven by other means.";True
article12;"That period may be extended by the controller by two further months where necessary, taking into account the complexity and number of the requests.";"That period may be extended by two further months by the controller where necessary, taking into account the complexity and number of the requests.";False
article12;"Where the data subject makes the request by electronic form means, the information shall be provided by the controller by electronic means where possible, unless otherwise requested by the data subject.";"Where the data subject makes the request by electronic form means, the information shall be provided by electronic means by the controller where possible, unless otherwise requested by the data subject.";False
article12;"The information to be provided by the controller to data subjects pursuant to Articles 13 and 14 may be provided by the controller in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing.";"The information to be provided to data subjects by the controller pursuant to Articles 13 and 14 may be provided by the controller in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing.";False
article12;"Where the icons are presented by the controller electronically they shall be machine-readable.";"Where the icons are presented electronically by the controller they shall be machine-readable.";False
article14;"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: the period for which the personal data will be stored by the processor, or if that is not possible, the criteria used to determine that period.";"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: the period for which the personal data will be stored by the processor, or if that is not possible, the criteria used to determine that period.";True
article14;"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where processing by the processor is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right of the data subject to withdraw consent at any time, without affecting the lawfulness of processing by the processor based on consent before its withdrawal by the data subject.";"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject by the processor: where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw by the subject consent at any time, without affecting the lawfulness of processing by the processor based on consent before its withdrawal by the subject.";False
article14;"The controller shall provide the information referred to in paragraphs 1 and 2 within a reasonable period after obtaining the personal data, but at the latest within one month, having regard to the specific circumstances in which the personal data are processed by the processor.";"The controller shall provide the information referred to in paragraphs 1 and 2 within a reasonable period after obtaining the personal data, but at the latest within one month, having regard to the specific circumstances in which the personal data are processed by the processor.";True
article14;"The controller shall provide the information referred to in paragraphs 1 and 2 if the personal data are to be used by the controller for communication with the data subject, at the latest at the time of the first communication to that data subject.";"The controller shall provide the information referred to in paragraphs 1 and 2 if the personal data are to be used for communication with the data subject by the controller, at the latest at the time of the first communication to that data subject.";False
article14;"The controller shall provide the information referred to in paragraphs 1 and 2 if a disclosure to another recipient is envisaged by the controller, at the latest when the personal data are first disclosed by the controller.";"The controller shall provide the information referred to in paragraphs 1 and 2 if a disclosure to another recipient is envisaged, at the latest by the controller when the personal data are first disclosed by the controller.";False
article14;"Paragraphs 1 to 4 shall not apply where and insofar as the provision of such information by the controller proves impossible or would involve a disproportionate effort, in particular for processing by the processor for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in Article 89(1) or in so far as the obligation referred to in paragraph 1 of this Article is likely to render impossible or seriously impair the achievement of the objectives of that processing.";"Paragraphs 1 to 4 shall not apply where and insofar as the provision of such information by the controller proves impossible or would involve a disproportionate effort, in particular for processing by the processor for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in Article 89(1) or in so far as the obligation referred to in paragraph 1 of this Article is likely to render impossible or seriously impair the achievement of the objectives of that processing.";True
article15;"Where personal data are transferred by the processor to a third country or to an international organisation, the data subject shall have the right to be informed by the controller of the appropriate safeguards pursuant to Article 46 relating to the transfer.";"Where personal data are transferred to a third country or to an international organisation by the processor, the data subject shall have the right to be informed of the appropriate safeguards by the controller pursuant to Article 46 relating to the transfer.";False
article15;"Where the data subject makes the request by electronic means, and unless otherwise requested by the data subject, the information shall be provided by the processor in a commonly used electronic form.";"Where the data subject makes the request by electronic means, and unless otherwise requested by the data subject, the information shall be provided in a commonly used electronic form by the processor.";False
article17;"Paragraphs 1 and 2 shall not apply to the extent that processing by the processor is necessary for exercising the right of freedom of expression and information.";"Paragraphs 1 and 2 shall not apply to the extent that processing by the processor is necessary for exercising the right of freedom of expression and information.";True
article17;"Paragraphs 1 and 2 shall not apply to the extent that processing by the processor is necessary for compliance with a legal obligation which requires processing by Union or Member State law to which the controller is subject or for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.";"Paragraphs 1 and 2 shall not apply to the extent that processing by the processor is necessary for compliance with a legal obligation which requires processing by Union or Member State law to which the controller is subject or for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.";True
article17;"Paragraphs 1 and 2 shall not apply to the extent that processing by the processor is necessary for reasons of public interest in the area of public health in accordance with points (h) and (i) of Article 9(2) as well as Article 9(3).";"Paragraphs 1 and 2 shall not apply to the extent that processing by the processor is necessary for reasons of public interest in the area of public health in accordance with points (h) and (i) of Article 9(2) as well as Article 9(3).";True
article17;"Paragraphs 1 and 2 shall not apply to the extent that processing by the processor is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) in so far as the right referred to in paragraph 1 is likely to render impossible or seriously impair the achievement of the objectives of that processing.";"Paragraphs 1 and 2 shall not apply to the extent that processing by the processor is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) in so far as the right referred to in paragraph 1 is likely to render impossible or seriously impair the achievement of the objectives of that processing.";True
article17;"Paragraphs 1 and 2 shall not apply to the extent that processing by the processor is necessary for the establishment, exercise or defence of legal claims.";"Paragraphs 1 and 2 shall not apply to the extent that processing by the processor is necessary for the establishment, exercise or defence of legal claims.";True
article18;"Where processing by the processor has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed by the processor with the data subject’s consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State.";"Where processing by the processor has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed by the processor with the data subject’s consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State.";True
article20;"That right shall not apply to processing by the processor necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.";"That right shall not apply to processing by the processor necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.";True
article21;"Where personal data are processed by the processor for direct marketing purposes, the data subject shall have the right to object at any time to processing by the processor of personal data concerning him or her for such marketing, which includes profiling by the processor to the extent that it is related to such direct marketing.";"Where personal data are processed for direct marketing purposes by the processor, the data subject shall have the right to object at any time to processing by the processor of personal data concerning him or her for such marketing, which includes profiling by the processor to the extent that it is related to such direct marketing.";False
article21;"Where the data subject objects to processing by the processor for direct marketing purposes, the personal data shall no longer be processed by the processor for such purposes.";"Where the data subject objects to processing by the processor for direct marketing purposes, the personal data shall no longer be processed for such purposes by the processor.";False
article21;"At the latest at the time of the first communication with the data subject, the right referred to in paragraphs 1 and 2 shall be explicitly brought to the attention of the data subject by the controller and shall be presented by the controller clearly and separately from any other information.";"At the latest at the time of the first communication with the data subject, the right referred to in paragraphs 1 and 2 shall be explicitly brought to the attention of the data subject by the controller and shall be presented clearly and separately from any other information by the controller.";False
article21;"Where personal data are processed by the processor for scientific or historical research purposes or statistical purposes pursuant to Article 89(1), the data subject, on grounds relating to his or her particular situation, shall have the right to object to processing of personal data concerning him or her, unless the processing is necessary for the performance of a task carried out for reasons of public interest.";"Where personal data are processed by the processor for scientific or historical research purposes or statistical purposes pursuant to Article 89(1), the data subject, on grounds relating to his or her particular situation, shall have the right to object to processing of personal data concerning him or her, unless the processing is necessary for the performance of a task carried out for reasons of public interest.";True
article24;"Taking into account the nature, scope, context and purposes of processing by the processor as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons, the controller shall implement appropriate technical and organisational measures to ensure and to be able to demonstrate that processing is performed in accordance with this Regulation. ";"Taking into account the nature, scope, context and purposes of processing by the processor as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons, the controller shall implement appropriate technical and organisational measures to ensure and to be able to demonstrate that processing is performed in accordance with this Regulation.";False
article24;"Those measures shall be reviewed by the controller and updated by the controller where necessary.";"Those measures shall be reviewed by the controller and updated by the controller where necessary.";True
article24;"Adherence to approved codes of conduct as referred to in Article 40 or approved certification mechanisms as referred to in Article 42 may be used by the processor as an element by which to demonstrate compliance with the obligations of the controller.";"Adherence to approved codes of conduct as referred to in Article 40 or approved certification mechanisms as referred to in Article 42 may be used by the processor as an element by which to demonstrate compliance with the obligations of the controller.";True
article25;"That obligation applies to the amount of personal data collected by the processor, the extent of their processing by the processor, the period of their storage and their accessibility. ";"That obligation applies to the amount of personal data collected by the processor, the extent of their processing by the processor, the period of their storage and their accessibility.";False
article25;"In particular, such measures shall ensure that by default personal data are not made accessible by the controller without the individual’s intervention to an indefinite number of natural persons.";"In particular, such measures shall ensure that by default personal data are not made by the controller accessible without the individual’s intervention to an indefinite number of natural persons.";False
article25;"An approved certification mechanism pursuant to Article 42 may be used by the controller as an element to demonstrate compliance with the requirements set out in paragraphs 1 and 2 of this Article.";"An approved certification mechanism pursuant to Article 42 may be used as an element by the controller to demonstrate compliance with the requirements set out in paragraphs 1 and 2 of this Article.";False
article26;"The essence of the arrangement shall be made available by the controller to the data subject.";"The essence of the arrangement shall be made by the controller available to the data subject.";False
article27;"The obligation laid down in paragraph 1 of this Article shall not apply to processing which is occasional, does not include, on a large scale, processing of special categories of data as referred to in Article 9(1) or processing of personal data relating to criminal convictions and offences referred to in Article 10, and is unlikely to result in a risk to the rights and freedoms of natural persons, taking into account the nature, context, scope and purposes of the processing by the processor.";"The obligation laid down in paragraph 1 of this Article shall not apply to processing by the processor which is occasional, does not include, on a large scale, processing of special categories of data as referred to in Article 9(1) or processing of personal data relating to criminal convictions and offences referred to in Article 10, and is unlikely to result in a risk to the rights and freedoms of natural persons, taking into account the nature, context, scope and purposes of the processing.";False
article27;"The representative shall be established by the controller in one of the Member States where the data subjects, whose personal data are processed by the processor in relation to the offering of goods or services to them, or whose behaviour is monitored, are.";"The representative shall be established by the controller in one of the Member States where the data subjects, whose personal data are processed by the processor in relation to the offering of goods or services to them, or whose behaviour is monitored, are.";True
article28;"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing by the processor, the nature and purpose of the processing by the processor, the type of personal data and categories of data subjects and the obligations and rights of the controller.";"Processing by a processor by the processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing by the processor, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller.";False
article28;"That contract or other legal act shall stipulate, in particular, that the processor processes the personal data only on documented instructions from the controller, including with regard to transfers of personal data by the processor to a third country or an international organisation, unless required to do so by Union or Member State law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;.";"That contract or other legal act shall stipulate, in particular, that the processor processes the personal data only on documented instructions from the controller, including with regard to transfers by the processor of personal data to a third country or an international organisation, unless required to do so by Union or Member State law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;.";False
article28;"Adherence of a processor to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used by the controller as an element by which to demonstrate sufficient guarantees as referred to in paragraphs 1 and 4 of this Article.";"Adherence of a processor to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used by the controller as an element by which to demonstrate sufficient guarantees as referred to in paragraphs 1 and 4 of this Article.";True
article32;"In the controller assessing the appropriate level of security account shall be taken by the controller in particular of the risks that are presented by processing by the processor, in particular from accidental or unlawful destruction by the processor, loss by the processor, alteration by the processor, unauthorised disclosure by the processor of, or access to personal data transmitted by the processor, stored by the processor or otherwise processed by the processor.";"In assessing by the controller the appropriate level of security account shall be taken by the controller in particular of the risks that are presented by processing by the processor, in particular from accidental or unlawful destruction by the processor, loss by the processor, alteration by the processor, unauthorised disclosure of by the processor, or access to personal data transmitted by the processor, stored by the processor or otherwise processed by the processor.";False
article32;"Adherence to an approved code of conduct by the controller and the processor as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate compliance with the requirements set out in paragraph 1 of this Article.";"Adherence to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used by the controller as an element by which to demonstrate compliance with the requirements set out in paragraph 1 of this Article.";False
article33;"Where the notification to the supervisory authority is not made by the controller within 72 hours, it shall be accompanied by reasons for the delay.";"Where the notification to the supervisory authority is not made within 72 hours by the controller, it shall be accompanied by reasons for the delay.";False
article33;"The notification by the controller referred to in paragraph 1 shall at least describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned.";"The notification by the controller referred to in paragraph 1 shall at least describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned.";True
article33;"The notification by the controller referred to in paragraph 1 shall at least communicate the name and contact details of the data protection officer or other contact point where more information can be obtained by the controller.";"The notification by the controller referred to in paragraph 1 shall at least communicate the name and contact details of the data protection officer or other contact point where more information can be obtained by the controller.";True
article33;"The notification by the controller referred to in paragraph 1 shall at least describe the likely consequences of the personal data breach.";"The notification by the controller referred to in paragraph 1 shall at least describe the likely consequences of the personal data breach.";True
article33;"The notification by the controller referred to in paragraph 1 shall at least describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects.";"The notification by the controller referred to in paragraph 1 shall at least describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects.";True
article33;"Where, and in so far as, it is not possible for the controller to provide the information at the same time, the information may be provided by the controller in phases without undue further delay.";"Where, and in so far as, it is not possible to provide the information at the same time by the controller, the information may be provided in phases without undue further delay by the controller.";False
article33;"That documentation by the controller shall enable the supervisory authority to verify compliance with this Article.";"That documentation by the controller shall enable the supervisory authority to verify compliance with this Article.";True
